,area,mean_gray,min_gray,max_gray,sum_gray
0,0.0,0.0,10000.0,0.0,0.0
1,618.0,48.07443365695793,0.0,76.0,29710.0
2,665.0,60.20751879699248,0.0,76.0,40038.0
3,698.0,44.25501432664756,0.0,76.0,30890.0
4,811.0,66.70406905055486,0.0,76.0,54097.0
5,671.0,45.011922503725785,0.0,76.0,30203.0
6,1065.0,68.2093896713615,0.0,76.0,72643.0
7,614.0,72.65309446254072,0.0,76.0,44609.0
8,536.0,70.26305970149254,0.0,76.0,37661.0
9,983.0,58.54933875890132,0.0,76.0,57554.0
10,776.0,59.53994845360825,0.0,76.0,46203.0
11,1075.0,66.35348837209303,0.0,76.0,71330.0
12,586.0,49.63310580204778,0.0,76.0,29085.0
13,610.0,60.165573770491804,0.0,76.0,36701.0
14,556.0,36.694244604316545,0.0,76.0,20402.0
15,515.0,58.17087378640777,0.0,76.0,29958.0
16,473.0,66.10782241014799,0.0,76.0,31269.0
17,387.0,68.44702842377261,1.0,76.0,26489.0
18,808.0,40.007425742574256,0.0,76.0,32326.0
19,780.0,69.62435897435897,0.0,76.0,54307.0
20,511.0,51.77495107632094,0.0,76.0,26457.0
21,677.0,56.74446085672083,0.0,76.0,38416.0
22,405.0,1.7037037037037037,0.0,54.0,690.0
23,429.0,71.86713286713287,0.0,76.0,30831.0
24,522.0,55.229885057471265,0.0,76.0,28830.0
25,661.0,56.937972768532525,0.0,76.0,37636.0
26,772.0,62.94948186528497,0.0,76.0,48597.0
27,692.0,56.141618497109825,0.0,76.0,38850.0
28,1103.0,52.52402538531278,0.0,76.0,57934.0
29,484.0,67.66322314049587,0.0,76.0,32749.0
30,602.0,59.3687707641196,0.0,76.0,35740.0
31,763.0,64.91743119266054,0.0,76.0,49532.0
32,428.0,58.044392523364486,0.0,76.0,24843.0
33,1023.0,45.81524926686217,0.0,76.0,46869.0
34,769.0,36.568270481144346,0.0,76.0,28121.0
35,479.0,67.4384133611691,3.0,76.0,32303.0
36,529.0,71.51984877126654,0.0,76.0,37834.0
37,458.0,56.451965065502186,0.0,76.0,25855.0
38,360.0,62.858333333333334,0.0,76.0,22629.0
39,549.0,37.442622950819676,0.0,76.0,20556.0
40,512.0,65.310546875,0.0,76.0,33439.0
41,898.0,49.14922048997773,0.0,76.0,44136.0
42,610.0,56.94918032786885,0.0,76.0,34739.0
43,761.0,45.730617608409986,0.0,76.0,34801.0
44,456.0,29.94736842105263,0.0,76.0,13656.0
45,602.0,57.6063122923588,0.0,76.0,34679.0
46,1181.0,66.35309060118544,0.0,76.0,78363.0
47,803.0,63.6774595267746,0.0,76.0,51133.0
48,1201.0,59.63280599500416,0.0,76.0,71619.0
49,548.0,44.2956204379562,0.0,76.0,24274.0
50,387.0,64.14211886304909,0.0,76.0,24823.0
51,860.0,64.97441860465116,0.0,76.0,55878.0
52,229.0,18.606986899563317,0.0,76.0,4261.0
53,590.0,61.51864406779661,0.0,76.0,36296.0
54,336.0,34.00297619047619,0.0,76.0,11425.0
55,642.0,55.6822429906542,0.0,76.0,35748.0
56,287.0,5.846689895470384,0.0,60.0,1678.0
57,415.0,51.7566265060241,0.0,76.0,21479.0
58,106.0,65.98113207547169,0.0,76.0,6994.0
59,856.0,62.800233644859816,0.0,76.0,53757.0
60,554.0,36.14981949458484,0.0,76.0,20027.0
61,363.0,20.606060606060606,0.0,76.0,7480.0
62,699.0,43.301859799713874,0.0,76.0,30268.0
63,265.0,59.56603773584906,1.0,76.0,15785.0
64,419.0,38.50835322195704,0.0,76.0,16135.0
65,681.0,51.68722466960352,0.0,76.0,35199.0
66,499.0,27.649298597194388,0.0,76.0,13797.0
67,754.0,67.72546419098143,0.0,76.0,51065.0
68,350.0,36.38857142857143,0.0,76.0,12736.0
69,167.0,41.17365269461078,4.0,76.0,6876.0
70,82.0,73.6219512195122,0.0,76.0,6037.0
71,725.0,27.857931034482757,0.0,76.0,20197.0
72,843.0,67.54804270462634,0.0,76.0,56943.0
73,762.0,66.92913385826772,0.0,76.0,51000.0
74,509.0,33.984282907662084,0.0,76.0,17298.0
75,464.0,54.928879310344826,0.0,76.0,25487.0
76,485.0,36.8,0.0,76.0,17848.0
77,261.0,52.70498084291188,0.0,76.0,13756.0
78,464.0,26.61853448275862,0.0,76.0,12351.0
79,221.0,6.280542986425339,0.0,39.0,1388.0
80,520.0,22.421153846153846,0.0,76.0,11659.0
81,450.0,65.09333333333333,0.0,76.0,29292.0
82,263.0,19.486692015209126,0.0,76.0,5125.0
83,841.0,43.179548156956,0.0,76.0,36314.0
84,948.0,36.26054852320675,0.0,76.0,34375.0
85,664.0,60.95632530120482,0.0,76.0,40475.0
86,267.0,15.382022471910112,0.0,76.0,4107.0
87,233.0,20.240343347639485,0.0,76.0,4716.0
88,311.0,8.437299035369774,0.0,61.0,2624.0
89,291.0,62.77319587628866,5.0,76.0,18267.0
90,284.0,23.54225352112676,0.0,76.0,6686.0
91,759.0,40.18840579710145,0.0,76.0,30503.0
92,475.0,36.68421052631579,0.0,76.0,17425.0
93,165.0,57.64848484848485,0.0,76.0,9512.0
94,1065.0,63.16431924882629,0.0,76.0,67270.0
95,45.0,58.4,0.0,76.0,2628.0
96,198.0,47.56565656565657,0.0,76.0,9418.0
97,1483.0,64.13890761968982,0.0,76.0,95118.0
98,795.0,52.19874213836478,0.0,76.0,41498.0
99,200.0,63.55,0.0,76.0,12710.0
100,228.0,12.530701754385966,0.0,76.0,2857.0
101,619.0,65.2891760904685,0.0,76.0,40414.0
102,566.0,75.6713780918728,13.0,76.0,42830.0
103,396.0,23.7979797979798,0.0,76.0,9424.0
104,606.0,70.90924092409242,1.0,76.0,42971.0
105,710.0,36.252112676056335,0.0,76.0,25739.0
106,498.0,39.03815261044177,0.0,76.0,19441.0
107,505.0,64.16435643564357,0.0,76.0,32403.0
108,125.0,66.536,0.0,76.0,8317.0
109,377.0,73.09018567639258,0.0,76.0,27555.0
110,846.0,44.269503546099294,0.0,76.0,37452.0
111,210.0,60.34761904761905,0.0,76.0,12673.0
112,425.0,18.76235294117647,0.0,76.0,7974.0
113,159.0,16.572327044025158,0.0,59.0,2635.0
114,322.0,26.680124223602483,0.0,76.0,8591.0
115,252.0,6.345238095238095,0.0,45.0,1599.0
116,971.0,21.360453141091657,0.0,76.0,20741.0
117,876.0,31.89611872146119,0.0,76.0,27941.0
118,607.0,41.80230642504119,0.0,76.0,25374.0
119,284.0,37.34154929577465,0.0,76.0,10605.0
120,556.0,61.16726618705036,0.0,76.0,34009.0
121,422.0,24.51421800947867,0.0,76.0,10345.0
122,211.0,3.876777251184834,0.0,44.0,818.0
123,244.0,34.94672131147541,0.0,76.0,8527.0
124,168.0,2.8154761904761907,0.0,33.0,473.0
125,228.0,49.671052631578945,8.0,76.0,11325.0
126,65.0,63.38461538461539,9.0,76.0,4120.0
127,152.0,28.81578947368421,0.0,76.0,4380.0
128,915.0,39.665573770491804,0.0,76.0,36294.0
129,669.0,62.449925261584454,0.0,76.0,41779.0
130,608.0,42.85361842105263,0.0,76.0,26055.0
131,239.0,6.200836820083682,0.0,54.0,1482.0
132,148.0,68.97972972972973,13.0,76.0,10209.0
133,1273.0,70.33621366849961,0.0,76.0,89538.0
134,224.0,29.745535714285715,0.0,76.0,6663.0
135,160.0,1.6625,0.0,17.0,266.0
136,724.0,31.001381215469614,0.0,76.0,22445.0
137,296.0,29.969594594594593,0.0,76.0,8871.0
138,201.0,12.796019900497512,0.0,64.0,2572.0
139,976.0,25.62909836065574,0.0,76.0,25014.0
140,51.0,70.07843137254902,1.0,76.0,3574.0
141,212.0,0.41037735849056606,0.0,22.0,87.0
142,219.0,21.54794520547945,0.0,76.0,4719.0
143,58.0,12.862068965517242,0.0,67.0,746.0
144,44.0,64.22727272727273,0.0,76.0,2826.0
145,110.0,7.3545454545454545,0.0,39.0,809.0
146,89.0,68.04494382022472,0.0,76.0,6056.0
147,241.0,28.398340248962654,0.0,76.0,6844.0
148,63.0,31.666666666666668,0.0,76.0,1995.0
149,39.0,71.2051282051282,6.0,76.0,2777.0
150,99.0,23.404040404040405,0.0,76.0,2317.0
151,74.0,72.9054054054054,8.0,76.0,5395.0
152,526.0,12.954372623574145,0.0,76.0,6814.0
153,42.0,47.19047619047619,0.0,76.0,1982.0
154,65.0,52.36923076923077,0.0,76.0,3404.0
155,25.0,15.84,0.0,76.0,396.0
156,124.0,20.25,0.0,69.0,2511.0
157,28.0,47.17857142857143,0.0,76.0,1321.0
158,59.0,7.559322033898305,0.0,37.0,446.0
159,143.0,27.97902097902098,0.0,76.0,4001.0
160,46.0,21.282608695652176,0.0,76.0,979.0
161,36.0,24.88888888888889,0.0,72.0,896.0
162,49.0,5.653061224489796,0.0,23.0,277.0
163,28.0,5.642857142857143,0.0,29.0,158.0
164,89.0,62.08988764044944,0.0,76.0,5526.0
165,172.0,6.808139534883721,0.0,38.0,1171.0
166,29.0,54.206896551724135,0.0,76.0,1572.0
167,136.0,8.705882352941176,0.0,76.0,1184.0
168,203.0,59.51724137931034,0.0,76.0,12082.0
169,32.0,50.90625,0.0,76.0,1629.0
170,27.0,52.2962962962963,0.0,76.0,1412.0
171,108.0,6.425925925925926,0.0,51.0,694.0
172,22.0,25.363636363636363,0.0,76.0,558.0
173,50.0,51.56,1.0,76.0,2578.0
174,23.0,23.956521739130434,0.0,76.0,551.0
175,33.0,6.212121212121212,0.0,31.0,205.0
176,544.0,12.659926470588236,0.0,76.0,6887.0
177,23.0,31.17391304347826,0.0,76.0,717.0
178,27.0,15.444444444444445,0.0,76.0,417.0
179,155.0,43.94193548387097,0.0,76.0,6811.0
180,68.0,8.867647058823529,0.0,34.0,603.0
181,168.0,58.982142857142854,5.0,76.0,9909.0
182,39.0,35.8974358974359,0.0,76.0,1400.0
183,89.0,12.853932584269662,0.0,41.0,1144.0
184,73.0,6.123287671232877,0.0,44.0,447.0
185,23.0,39.78260869565217,0.0,76.0,915.0
186,42.0,3.5,0.0,18.0,147.0
