,area,mean_gray,min_gray,max_gray,sum_gray
0,0.0,0.0,10000.0,0.0,0.0
1,722.0,0.030470914127423823,0.0,14.0,22.0
2,950.0,0.0,0.0,0.0,0.0
3,721.0,4.625520110957004,0.0,76.0,3335.0
4,1153.0,0.03816131830008673,0.0,15.0,44.0
5,560.0,0.019642857142857142,0.0,11.0,11.0
6,592.0,0.0,0.0,0.0,0.0
7,451.0,0.11529933481152993,0.0,15.0,52.0
8,662.0,0.0377643504531722,0.0,10.0,25.0
9,144.0,19.20138888888889,0.0,76.0,2765.0
10,1083.0,0.05170821791320406,0.0,25.0,56.0
11,440.0,0.0659090909090909,0.0,22.0,29.0
12,635.0,0.10866141732283464,0.0,26.0,69.0
13,610.0,0.3885245901639344,0.0,20.0,237.0
14,444.0,0.0,0.0,0.0,0.0
15,598.0,0.010033444816053512,0.0,6.0,6.0
16,502.0,0.5239043824701195,0.0,41.0,263.0
17,627.0,0.24242424242424243,0.0,31.0,152.0
18,679.0,0.0,0.0,0.0,0.0
19,372.0,0.0,0.0,0.0,0.0
20,1215.0,0.03292181069958848,0.0,16.0,40.0
21,535.0,0.0,0.0,0.0,0.0
22,889.0,0.21484814398200225,0.0,27.0,191.0
23,638.0,0.0,0.0,0.0,0.0
24,600.0,0.08,0.0,13.0,48.0
25,1047.0,0.4364851957975167,0.0,30.0,457.0
26,711.0,0.0028129395218002813,0.0,2.0,2.0
27,517.0,0.22823984526112184,0.0,25.0,118.0
28,515.0,1.8155339805825244,0.0,54.0,935.0
29,657.0,0.0669710806697108,0.0,23.0,44.0
30,534.0,0.27153558052434457,0.0,34.0,145.0
31,398.0,0.0,0.0,0.0,0.0
32,662.0,0.061933534743202415,0.0,28.0,41.0
33,571.0,0.0,0.0,0.0,0.0
34,637.0,0.36891679748822603,0.0,22.0,235.0
35,417.0,0.004796163069544364,0.0,2.0,2.0
36,598.0,0.0016722408026755853,0.0,1.0,1.0
37,649.0,0.07087827426810478,0.0,41.0,46.0
38,444.0,0.0022522522522522522,0.0,1.0,1.0
39,236.0,0.0,0.0,0.0,0.0
40,610.0,0.08852459016393442,0.0,19.0,54.0
41,541.0,0.0,0.0,0.0,0.0
42,596.0,0.01174496644295302,0.0,4.0,7.0
43,503.0,0.05168986083499006,0.0,11.0,26.0
44,489.0,0.002044989775051125,0.0,1.0,1.0
45,588.0,0.00510204081632653,0.0,3.0,3.0
46,556.0,0.01618705035971223,0.0,9.0,9.0
47,826.0,0.5532687651331719,0.0,48.0,457.0
48,814.0,2.468058968058968,0.0,76.0,2009.0
49,468.0,0.1752136752136752,0.0,17.0,82.0
50,340.0,0.0,0.0,0.0,0.0
51,587.0,0.0,0.0,0.0,0.0
52,414.0,0.18357487922705315,0.0,26.0,76.0
53,441.0,0.3764172335600907,0.0,31.0,166.0
54,374.0,0.0,0.0,0.0,0.0
55,291.0,0.40893470790378006,0.0,25.0,119.0
56,447.0,0.0,0.0,0.0,0.0
57,442.0,0.02262443438914027,0.0,5.0,10.0
58,357.0,0.0,0.0,0.0,0.0
59,593.0,0.03204047217537943,0.0,8.0,19.0
60,317.0,0.0031545741324921135,0.0,1.0,1.0
61,602.0,0.0,0.0,0.0,0.0
62,425.0,0.002352941176470588,0.0,1.0,1.0
63,482.0,0.0,0.0,0.0,0.0
64,334.0,0.0,0.0,0.0,0.0
65,544.0,0.0,0.0,0.0,0.0
66,420.0,0.009523809523809525,0.0,2.0,4.0
67,525.0,0.08571428571428572,0.0,34.0,45.0
68,576.0,0.024305555555555556,0.0,8.0,14.0
69,476.0,0.15546218487394958,0.0,23.0,74.0
70,695.0,0.02014388489208633,0.0,9.0,14.0
71,426.0,0.03286384976525822,0.0,8.0,14.0
72,264.0,0.08712121212121213,0.0,11.0,23.0
73,534.0,0.2883895131086142,0.0,47.0,154.0
74,437.0,0.013729977116704805,0.0,6.0,6.0
75,216.0,0.0,0.0,0.0,0.0
76,517.0,0.0,0.0,0.0,0.0
77,403.0,0.03722084367245657,0.0,15.0,15.0
78,507.0,0.0,0.0,0.0,0.0
79,261.0,0.01532567049808429,0.0,4.0,4.0
80,389.0,0.04627249357326478,0.0,14.0,18.0
81,267.0,1.299625468164794,0.0,33.0,347.0
82,221.0,2.0950226244343892,0.0,50.0,463.0
83,527.0,0.45540796963946867,0.0,34.0,240.0
84,636.0,0.0,0.0,0.0,0.0
85,456.0,0.125,0.0,35.0,57.0
86,439.0,0.04328018223234624,0.0,14.0,19.0
87,304.0,0.013157894736842105,0.0,2.0,4.0
88,455.0,0.013186813186813187,0.0,3.0,6.0
89,478.0,0.0,0.0,0.0,0.0
90,475.0,1.1936842105263157,0.0,34.0,567.0
91,394.0,0.02030456852791878,0.0,5.0,8.0
92,323.0,0.0,0.0,0.0,0.0
93,468.0,0.0,0.0,0.0,0.0
94,318.0,0.0,0.0,0.0,0.0
95,546.0,0.0,0.0,0.0,0.0
96,338.0,0.005917159763313609,0.0,2.0,2.0
97,679.0,0.2547864506627393,0.0,19.0,173.0
98,327.0,0.0,0.0,0.0,0.0
99,487.0,0.0,0.0,0.0,0.0
100,557.0,2.7289048473967683,0.0,76.0,1520.0
101,813.0,0.2066420664206642,0.0,36.0,168.0
102,606.0,4.026402640264027,0.0,76.0,2440.0
103,258.0,0.0,0.0,0.0,0.0
104,207.0,0.0,0.0,0.0,0.0
105,468.0,0.0405982905982906,0.0,11.0,19.0
106,839.0,0.027413587604290822,0.0,13.0,23.0
107,284.0,0.0,0.0,0.0,0.0
108,421.0,0.0023752969121140144,0.0,1.0,1.0
